id;train_loss;train_acc;val_acc;val_loss
0;2.215981;0.187500;-1.000000;
1;2.502148;0.093750;-1.000000;
2;2.343635;0.093750;-1.000000;
3;2.171304;0.125000;-1.000000;
4;2.201498;0.062500;-1.000000;
5;2.308896;0.031250;-1.000000;
6;2.241164;0.062500;-1.000000;
7;2.098341;0.218750;-1.000000;
8;2.269856;0.093750;-1.000000;
9;2.086022;0.218750;-1.000000;
10;2.002662;0.187500;-1.000000;
11;2.151694;0.125000;-1.000000;
12;2.002388;0.312500;-1.000000;
13;2.146262;0.156250;-1.000000;
14;2.150807;0.200000;-1.000000;
15;1.937676;0.250000;-1.000000;
16;2.174752;0.093750;-1.000000;
17;2.124125;0.156250;-1.000000;
18;1.984302;0.281250;-1.000000;
19;2.089015;0.125000;-1.000000;
20;2.122104;0.156250;-1.000000;
21;2.032081;0.125000;-1.000000;
22;2.068526;0.125000;-1.000000;
23;2.163983;0.093750;-1.000000;
24;1.979556;0.156250;-1.000000;
25;2.026165;0.156250;-1.000000;
26;2.087855;0.156250;-1.000000;
27;1.952214;0.250000;-1.000000;
28;2.031509;0.156250;-1.000000;
29;2.114249;0.050000;-1.000000;
30;1.858871;0.312500;-1.000000;
31;2.119364;0.093750;-1.000000;
32;2.000024;0.156250;-1.000000;
33;1.903448;0.343750;-1.000000;
34;2.154477;0.125000;-1.000000;
35;2.179715;0.187500;-1.000000;
36;1.927446;0.218750;-1.000000;
37;1.942136;0.281250;-1.000000;
38;2.033008;0.093750;-1.000000;
39;1.947719;0.281250;-1.000000;
40;1.947022;0.218750;-1.000000;
41;2.024020;0.218750;-1.000000;
42;1.939801;0.250000;-1.000000;
43;2.055121;0.187500;-1.000000;
44;2.026255;0.200000;-1.000000;
45;1.847993;0.281250;-1.000000;
46;2.032051;0.125000;-1.000000;
47;2.000410;0.156250;-1.000000;
48;1.818505;0.375000;-1.000000;
49;2.079708;0.218750;-1.000000;
50;2.130014;0.218750;-1.000000;
51;1.927094;0.218750;-1.000000;
52;1.964529;0.187500;-1.000000;
53;2.008940;0.187500;-1.000000;
54;1.875619;0.250000;-1.000000;
55;1.843707;0.281250;-1.000000;
56;1.938234;0.187500;-1.000000;
57;1.898800;0.250000;-1.000000;
58;1.919187;0.250000;-1.000000;
59;1.969605;0.250000;-1.000000;
60;1.751844;0.312500;-1.000000;
61;2.040060;0.156250;-1.000000;
62;1.791106;0.312500;-1.000000;
63;1.853761;0.343750;-1.000000;
64;1.943787;0.218750;-1.000000;
65;2.038957;0.250000;-1.000000;
66;1.818060;0.250000;-1.000000;
67;1.819081;0.312500;-1.000000;
68;1.955678;0.156250;-1.000000;
69;1.794203;0.312500;-1.000000;
70;1.835481;0.343750;-1.000000;
71;1.951257;0.218750;-1.000000;
72;1.732342;0.437500;-1.000000;
73;1.942439;0.250000;-1.000000;
74;1.868028;0.300000;-1.000000;
75;1.625724;0.375000;-1.000000;
76;1.910126;0.156250;-1.000000;
77;1.770096;0.281250;-1.000000;
78;1.650010;0.437500;-1.000000;
79;2.052347;0.218750;-1.000000;
80;2.023728;0.187500;-1.000000;
81;1.679716;0.406250;-1.000000;
82;1.800186;0.312500;-1.000000;
83;1.770029;0.312500;-1.000000;
84;1.740647;0.281250;-1.000000;
85;1.737571;0.250000;-1.000000;
86;1.805754;0.187500;-1.000000;
87;1.682633;0.468750;-1.000000;
88;1.861201;0.218750;-1.000000;
89;1.792926;0.300000;-1.000000;
90;1.501062;0.437500;-1.000000;
91;1.914741;0.156250;-1.000000;
92;1.687938;0.343750;-1.000000;
93;1.584661;0.500000;-1.000000;
94;1.944075;0.218750;-1.000000;
95;1.851320;0.250000;-1.000000;
96;1.588062;0.468750;-1.000000;
97;1.679952;0.375000;-1.000000;
98;1.836224;0.218750;-1.000000;
99;1.714597;0.343750;-1.000000;
100;1.690690;0.312500;-1.000000;
101;1.828493;0.218750;-1.000000;
102;1.563398;0.437500;-1.000000;
103;1.777122;0.218750;-1.000000;
104;1.772835;0.300000;-1.000000;
105;1.507150;0.500000;-1.000000;
106;1.833690;0.281250;-1.000000;
107;1.627999;0.406250;-1.000000;
108;1.555961;0.468750;-1.000000;
109;1.806178;0.281250;-1.000000;
110;1.805164;0.281250;-1.000000;
111;1.616684;0.406250;-1.000000;
112;1.633128;0.500000;-1.000000;
113;1.729013;0.343750;-1.000000;
114;1.714611;0.312500;-1.000000;
115;1.461700;0.562500;-1.000000;
116;1.709826;0.312500;-1.000000;
117;1.531614;0.343750;-1.000000;
118;1.753216;0.218750;-1.000000;
119;1.646343;0.400000;-1.000000;
120;1.415630;0.500000;-1.000000;
121;1.705230;0.281250;-1.000000;
122;1.519326;0.500000;-1.000000;
123;1.515496;0.500000;-1.000000;
124;1.737218;0.312500;-1.000000;
125;1.790270;0.343750;-1.000000;
126;1.406581;0.593750;-1.000000;
127;1.630591;0.406250;-1.000000;
128;1.747087;0.281250;-1.000000;
129;1.677515;0.406250;-1.000000;
130;1.411548;0.593750;-1.000000;
131;1.662675;0.406250;-1.000000;
132;1.409372;0.500000;-1.000000;
133;1.772305;0.312500;-1.000000;
134;1.568289;0.550000;-1.000000;
135;1.285054;0.562500;-1.000000;
136;1.668386;0.281250;-1.000000;
137;1.721498;0.281250;-1.000000;
138;1.436028;0.468750;-1.000000;
139;1.694716;0.281250;-1.000000;
140;1.606620;0.406250;-1.000000;
141;1.445511;0.593750;-1.000000;
142;1.558948;0.468750;-1.000000;
143;1.686497;0.375000;-1.000000;
144;1.629524;0.406250;-1.000000;
145;1.394972;0.468750;-1.000000;
146;1.615552;0.375000;-1.000000;
147;1.373296;0.500000;-1.000000;
148;1.617232;0.500000;-1.000000;
149;1.525830;0.600000;-1.000000;
150;1.209922;0.593750;-1.000000;
151;1.601907;0.375000;-1.000000;
152;1.417873;0.531250;-1.000000;
153;1.240825;0.656250;-1.000000;
154;1.605155;0.343750;-1.000000;
155;1.481439;0.562500;-1.000000;
156;1.267404;0.656250;-1.000000;
157;1.501533;0.500000;-1.000000;
158;1.450759;0.531250;-1.000000;
159;1.418533;0.562500;-1.000000;
