id;train_loss;train_acc;val_acc;val_loss
0;2.177372;0.132479;0.120000;
1;2.161481;0.136752;0.120000;
2;2.145197;0.136752;0.120000;
3;2.132901;0.136752;0.120000;
4;2.117401;0.136752;0.120000;
5;2.103867;0.136752;0.120000;
6;2.090096;0.136752;0.120000;
7;2.076879;0.138889;0.140000;
8;2.067326;0.145299;0.160000;
9;2.055099;0.155983;0.200000;
10;2.045347;0.183761;0.180000;
11;2.035989;0.188034;0.190000;
12;2.028268;0.185897;0.190000;
13;2.020986;0.200855;0.210000;
14;2.013283;0.222222;0.210000;
15;2.007504;0.230769;0.220000;
16;2.002946;0.241453;0.210000;
17;1.997302;0.245726;0.200000;
18;1.991291;0.237179;0.210000;
19;1.985658;0.239316;0.170000;
20;1.980576;0.226496;0.180000;
21;1.976160;0.232906;0.180000;
22;1.970749;0.228632;0.180000;
23;1.966384;0.224359;0.170000;
24;1.958013;0.226496;0.190000;
25;1.952659;0.224359;0.210000;
26;1.949127;0.228632;0.210000;
27;1.941157;0.230769;0.200000;
28;1.937777;0.239316;0.190000;
29;1.930403;0.237179;0.200000;
30;1.925052;0.239316;0.200000;
31;1.918818;0.239316;0.200000;
32;1.908752;0.247863;0.200000;
33;1.901532;0.250000;0.250000;
34;1.896461;0.252137;0.260000;
35;1.886514;0.262821;0.290000;
36;1.880938;0.284188;0.280000;
37;1.869957;0.288462;0.300000;
38;1.861222;0.284188;0.300000;
39;1.854071;0.282051;0.330000;
40;1.844891;0.292735;0.310000;
41;1.836398;0.290598;0.310000;
42;1.825350;0.303419;0.320000;
43;1.815471;0.311966;0.330000;
44;1.806285;0.301282;0.330000;
45;1.800579;0.314103;0.350000;
46;1.788680;0.301282;0.350000;
47;1.779913;0.322650;0.350000;
48;1.773762;0.324786;0.360000;
49;1.763047;0.324786;0.360000;
50;1.753932;0.329060;0.340000;
51;1.744832;0.335470;0.360000;
52;1.738977;0.324786;0.360000;
53;1.728496;0.350427;0.370000;
54;1.726605;0.335470;0.360000;
55;1.717412;0.326923;0.360000;
56;1.710251;0.344017;0.350000;
57;1.699018;0.344017;0.360000;
58;1.698901;0.350427;0.360000;
59;1.692086;0.350427;0.360000;
60;1.687733;0.339744;0.370000;
61;1.678025;0.348291;0.360000;
62;1.672864;0.348291;0.370000;
63;1.665518;0.358974;0.360000;
64;1.664551;0.346154;0.360000;
65;1.654336;0.361111;0.360000;
66;1.649595;0.361111;0.360000;
67;1.646547;0.358974;0.360000;
68;1.645394;0.350427;0.360000;
69;1.636016;0.363248;0.360000;
70;1.634733;0.363248;0.370000;
71;1.626594;0.363248;0.370000;
72;1.625601;0.369658;0.360000;
73;1.619823;0.376068;0.370000;
74;1.618550;0.369658;0.370000;
75;1.608640;0.378205;0.380000;
76;1.607780;0.371795;0.380000;
77;1.601310;0.393162;0.390000;
78;1.595819;0.399573;0.380000;
79;1.596631;0.393162;0.370000;
80;1.591894;0.395299;0.380000;
81;1.589536;0.378205;0.370000;
82;1.588326;0.376068;0.380000;
83;1.576038;0.405983;0.390000;
84;1.573396;0.399573;0.390000;
85;1.571080;0.405983;0.390000;
86;1.571323;0.405983;0.390000;
87;1.557848;0.414530;0.400000;
88;1.561164;0.391026;0.390000;
89;1.548555;0.418803;0.380000;
90;1.554963;0.399573;0.390000;
91;1.550360;0.412393;0.390000;
92;1.544683;0.405983;0.410000;
93;1.541495;0.414530;0.380000;
94;1.538526;0.425214;0.400000;
95;1.532970;0.423077;0.400000;
96;1.528969;0.408120;0.400000;
97;1.518391;0.403846;0.400000;
98;1.524044;0.418803;0.410000;
99;1.525214;0.418803;0.400000;
100;1.509410;0.429487;0.400000;
101;1.505967;0.431624;0.380000;
102;1.502762;0.425214;0.420000;
103;1.502356;0.423077;0.420000;
104;1.498710;0.425214;0.430000;
105;1.491622;0.435897;0.410000;
106;1.493631;0.444444;0.400000;
107;1.480806;0.429487;0.420000;
108;1.478620;0.433761;0.410000;
109;1.477480;0.431624;0.420000;
110;1.475368;0.438034;0.420000;
111;1.465359;0.448718;0.430000;
112;1.460840;0.448718;0.420000;
113;1.466284;0.429487;0.430000;
114;1.462713;0.438034;0.420000;
115;1.452080;0.457265;0.410000;
116;1.450411;0.446581;0.410000;
117;1.447575;0.450855;0.420000;
118;1.433181;0.470085;0.430000;
119;1.443494;0.444444;0.410000;
120;1.434450;0.459402;0.420000;
121;1.429505;0.457265;0.420000;
122;1.430268;0.450855;0.420000;
123;1.422256;0.448718;0.420000;
124;1.422124;0.463675;0.410000;
125;1.410138;0.463675;0.420000;
126;1.404038;0.457265;0.420000;
127;1.403759;0.470085;0.430000;
128;1.409062;0.463675;0.420000;
129;1.400589;0.463675;0.420000;
130;1.380793;0.455128;0.420000;
131;1.394975;0.459402;0.430000;
132;1.383821;0.474359;0.420000;
133;1.376445;0.474359;0.420000;
134;1.373539;0.465812;0.420000;
135;1.378392;0.463675;0.420000;
136;1.370433;0.459402;0.420000;
137;1.359629;0.467949;0.420000;
138;1.357370;0.472222;0.420000;
139;1.364063;0.480769;0.420000;
140;1.348342;0.476496;0.430000;
141;1.352728;0.465812;0.420000;
142;1.348749;0.465812;0.400000;
143;1.337815;0.474359;0.410000;
144;1.326388;0.493590;0.430000;
145;1.337661;0.487179;0.430000;
146;1.323635;0.489316;0.410000;
147;1.328122;0.476496;0.430000;
148;1.316891;0.497863;0.410000;
149;1.316878;0.478632;0.420000;
150;1.314946;0.497863;0.410000;
151;1.306789;0.497863;0.420000;
152;1.296107;0.497863;0.420000;
153;1.292457;0.489316;0.410000;
154;1.294675;0.502137;0.420000;
155;1.293171;0.493590;0.420000;
156;1.284340;0.497863;0.420000;
157;1.279163;0.495726;0.410000;
158;1.280199;0.510684;0.420000;
159;1.271390;0.500000;0.420000;
160;1.277299;0.500000;0.420000;
161;1.276411;0.495726;0.420000;
162;1.255478;0.504274;0.420000;
163;1.252422;0.512821;0.420000;
164;1.251848;0.517094;0.420000;
165;1.250648;0.536325;0.420000;
166;1.249837;0.495726;0.410000;
167;1.241602;0.508547;0.420000;
168;1.237823;0.504274;0.420000;
169;1.228972;0.521368;0.440000;
170;1.229634;0.506410;0.450000;
171;1.233456;0.523504;0.450000;
172;1.221616;0.525641;0.450000;
173;1.203534;0.549145;0.440000;
174;1.213377;0.529915;0.450000;
175;1.218734;0.512821;0.450000;
176;1.197011;0.525641;0.440000;
177;1.190952;0.544872;0.450000;
178;1.187429;0.538462;0.450000;
179;1.189886;0.519231;0.450000;
180;1.190662;0.534188;0.450000;
181;1.197716;0.542735;0.430000;
182;1.183158;0.561966;0.450000;
183;1.179942;0.538462;0.440000;
184;1.181149;0.549145;0.450000;
185;1.161470;0.572650;0.430000;
186;1.172780;0.568376;0.440000;
187;1.149648;0.587607;0.440000;
188;1.171205;0.557692;0.430000;
189;1.145685;0.568376;0.430000;
190;1.148371;0.579060;0.430000;
191;1.136379;0.574786;0.440000;
192;1.155236;0.583333;0.440000;
193;1.139002;0.564103;0.440000;
194;1.131895;0.589744;0.440000;
195;1.118179;0.596154;0.440000;
196;1.113600;0.589744;0.440000;
197;1.131036;0.587607;0.440000;
198;1.115754;0.579060;0.460000;
199;1.111613;0.579060;0.440000;
200;1.095329;0.602564;0.430000;
201;1.096952;0.613248;0.440000;
202;1.089283;0.615385;0.450000;
203;1.094796;0.608974;0.430000;
204;1.097063;0.606838;0.450000;
205;1.068651;0.600427;0.430000;
206;1.083532;0.598291;0.460000;
207;1.073897;0.604701;0.430000;
208;1.059320;0.594017;0.450000;
209;1.066181;0.600427;0.460000;
210;1.070516;0.611111;0.440000;
211;1.053838;0.626068;0.440000;
212;1.052146;0.613248;0.450000;
213;1.048821;0.611111;0.460000;
214;1.050946;0.606838;0.430000;
215;1.035171;0.613248;0.450000;
216;1.034632;0.623932;0.420000;
217;1.040911;0.613248;0.450000;
218;1.020036;0.619658;0.470000;
219;1.033280;0.617521;0.460000;
220;1.015632;0.636752;0.470000;
221;1.023971;0.613248;0.470000;
222;1.007039;0.626068;0.450000;
223;1.017239;0.615385;0.450000;
224;1.001915;0.658120;0.450000;
225;1.008600;0.626068;0.450000;
226;1.005229;0.623932;0.450000;
227;0.990764;0.649573;0.460000;
228;0.989968;0.647436;0.450000;
229;0.991580;0.634615;0.440000;
230;0.988312;0.632479;0.450000;
231;0.981434;0.651709;0.450000;
232;0.965083;0.653846;0.440000;
233;0.986070;0.621795;0.430000;
234;0.963658;0.641026;0.450000;
235;0.956439;0.660256;0.450000;
236;0.966737;0.643162;0.440000;
237;0.946696;0.643162;0.460000;
238;0.951836;0.647436;0.440000;
239;0.958950;0.651709;0.440000;
240;0.961673;0.643162;0.430000;
241;0.943318;0.666667;0.440000;
242;0.932388;0.653846;0.450000;
243;0.945540;0.662393;0.450000;
244;0.921901;0.655983;0.440000;
245;0.915214;0.694444;0.450000;
246;0.926191;0.668803;0.420000;
247;0.905809;0.677350;0.470000;
248;0.917667;0.653846;0.460000;
249;0.903839;0.690171;0.450000;
