id;train_loss;train_acc;val_acc;val_loss
0;2.387019;0.226496;0.250000;
1;1.369512;0.536325;0.490000;
2;1.019995;0.658120;0.550000;
3;0.781751;0.762821;0.580000;
4;0.558051;0.871795;0.620000;
5;0.428200;0.891026;0.690000;
6;0.328296;0.931624;0.720000;
7;0.279935;0.946581;0.660000;
8;0.231454;0.965812;0.700000;
9;0.171677;0.978632;0.720000;
10;0.152778;0.974359;0.710000;
11;0.121285;0.987179;0.730000;
12;0.106798;0.991453;0.750000;
13;0.104696;0.980769;0.720000;
14;0.072404;0.987179;0.770000;
15;0.067371;0.991453;0.800000;
16;0.058402;0.991453;0.810000;
17;0.040402;0.997863;0.820000;
18;0.037637;0.997863;0.840000;
19;0.050680;0.991453;0.690000;
20;0.041500;0.991453;0.800000;
21;0.055216;0.989316;0.820000;
22;0.030542;0.995726;0.820000;
23;0.027789;0.993590;0.860000;
24;0.038195;0.993590;0.790000;
25;0.023145;0.997863;0.830000;
26;0.031545;0.997863;0.840000;
27;0.014073;1.000000;0.800000;
28;0.017344;1.000000;0.820000;
29;0.014316;1.000000;0.820000;
30;0.010648;1.000000;0.850000;
31;0.020243;0.997863;0.850000;
32;0.017977;0.997863;0.830000;
33;0.019143;0.997863;0.830000;
34;0.014840;1.000000;0.730000;
35;0.008515;1.000000;0.860000;
36;0.023644;0.991453;0.840000;
37;0.012893;0.997863;0.830000;
38;0.006165;1.000000;0.830000;
39;0.004346;1.000000;0.840000;
40;0.012491;0.995726;0.860000;
41;0.010388;0.995726;0.800000;
42;0.006939;1.000000;0.820000;
43;0.015455;0.995726;0.860000;
44;0.008276;1.000000;0.810000;
45;0.015071;0.997863;0.840000;
46;0.006433;1.000000;0.840000;
47;0.005116;1.000000;0.820000;
48;0.010314;0.997863;0.700000;
49;0.010037;0.997863;0.810000;
50;0.005214;1.000000;0.850000;
51;0.004879;1.000000;0.840000;
52;0.002571;1.000000;0.860000;
53;0.007286;0.997863;0.830000;
54;0.007260;1.000000;0.730000;
55;0.008527;0.997863;0.850000;
56;0.005607;0.997863;0.860000;
57;0.003899;1.000000;0.840000;
58;0.001751;1.000000;0.850000;
59;0.001462;1.000000;0.830000;
60;0.007706;0.995726;0.830000;
61;0.004156;1.000000;0.840000;
62;0.001615;1.000000;0.850000;
63;0.001257;1.000000;0.880000;
64;0.006390;0.997863;0.850000;
65;0.003028;1.000000;0.870000;
66;0.015252;0.995726;0.830000;
67;0.004780;1.000000;0.890000;
68;0.001220;1.000000;0.890000;
69;0.000864;1.000000;0.880000;
70;0.003082;1.000000;0.890000;
71;0.002777;1.000000;0.880000;
72;0.001660;1.000000;0.880000;
73;0.001432;1.000000;0.890000;
74;0.000982;1.000000;0.900000;
75;0.002659;1.000000;0.870000;
76;0.000963;1.000000;0.880000;
77;0.000655;1.000000;0.890000;
78;0.003755;0.997863;0.870000;
79;0.000662;1.000000;0.860000;
80;0.000820;1.000000;0.890000;
81;0.000405;1.000000;0.860000;
82;0.002508;1.000000;0.900000;
83;0.003067;0.997863;0.870000;
84;0.002017;1.000000;0.880000;
85;0.000616;1.000000;0.900000;
86;0.000504;1.000000;0.840000;
87;0.001941;1.000000;0.880000;
88;0.002235;1.000000;0.890000;
89;0.000698;1.000000;0.890000;
90;0.007053;0.997863;0.830000;
91;0.000589;1.000000;0.890000;
92;0.001419;1.000000;0.870000;
93;0.000412;1.000000;0.900000;
94;0.000537;1.000000;0.890000;
95;0.002450;1.000000;0.840000;
96;0.000478;1.000000;0.900000;
97;0.000465;1.000000;0.880000;
98;0.008432;0.995726;0.810000;
99;0.000647;1.000000;0.850000;
100;0.000390;1.000000;0.880000;
101;0.000439;1.000000;0.890000;
102;0.000247;1.000000;0.870000;
103;0.003262;0.997863;0.870000;
104;0.000513;1.000000;0.870000;
105;0.000210;1.000000;0.880000;
106;0.005699;0.995726;0.880000;
107;0.000402;1.000000;0.880000;
108;0.000247;1.000000;0.890000;
109;0.002521;1.000000;0.830000;
110;0.000566;1.000000;0.860000;
111;0.000309;1.000000;0.890000;
112;0.000630;1.000000;0.890000;
113;0.000225;1.000000;0.880000;
114;0.000262;1.000000;0.880000;
115;0.000371;1.000000;0.890000;
116;0.000325;1.000000;0.870000;
117;0.008697;0.997863;0.870000;
118;0.000313;1.000000;0.890000;
119;0.000256;1.000000;0.850000;
120;0.000289;1.000000;0.880000;
121;0.000572;1.000000;0.870000;
122;0.005820;0.997863;0.880000;
123;0.000246;1.000000;0.890000;
124;0.000193;1.000000;0.870000;
125;0.000351;1.000000;0.870000;
126;0.001417;1.000000;0.850000;
127;0.009733;0.997863;0.890000;
128;0.000238;1.000000;0.890000;
129;0.000184;1.000000;0.890000;
130;0.003295;0.997863;0.840000;
131;0.000220;1.000000;0.860000;
132;0.000180;1.000000;0.880000;
133;0.000100;1.000000;0.880000;
134;0.000176;1.000000;0.860000;
135;0.000095;1.000000;0.890000;
136;0.006512;0.995726;0.880000;
137;0.001270;1.000000;0.900000;
138;0.000168;1.000000;0.890000;
139;0.000108;1.000000;0.880000;
140;0.000151;1.000000;0.870000;
141;0.000138;1.000000;0.910000;
142;0.000055;1.000000;0.900000;
143;0.000232;1.000000;0.870000;
144;0.000094;1.000000;0.880000;
145;0.000139;1.000000;0.900000;
146;0.000955;1.000000;0.820000;
147;0.000362;1.000000;0.890000;
148;0.001952;1.000000;0.890000;
149;0.000119;1.000000;0.900000;
150;0.001929;0.997863;0.800000;
151;0.000592;1.000000;0.860000;
152;0.000123;1.000000;0.880000;
153;0.000146;1.000000;0.890000;
154;0.001163;1.000000;0.760000;
155;0.001945;1.000000;0.900000;
156;0.000089;1.000000;0.890000;
157;0.000076;1.000000;0.900000;
158;0.000118;1.000000;0.880000;
159;0.002152;1.000000;0.860000;
160;0.004716;0.997863;0.880000;
161;0.000079;1.000000;0.890000;
162;0.000291;1.000000;0.880000;
163;0.000080;1.000000;0.890000;
164;0.000058;1.000000;0.850000;
165;0.008961;0.997863;0.850000;
166;0.000579;1.000000;0.880000;
167;0.000124;1.000000;0.910000;
168;0.000211;1.000000;0.880000;
169;0.000102;1.000000;0.900000;
170;0.000045;1.000000;0.900000;
171;0.000042;1.000000;0.890000;
172;0.000075;1.000000;0.890000;
173;0.000043;1.000000;0.900000;
174;0.000213;1.000000;0.900000;
175;0.000040;1.000000;0.900000;
176;0.000126;1.000000;0.890000;
177;0.006923;0.997863;0.900000;
178;0.000072;1.000000;0.900000;
179;0.000036;1.000000;0.900000;
180;0.000044;1.000000;0.890000;
181;0.000022;1.000000;0.890000;
182;0.000342;1.000000;0.870000;
183;0.000050;1.000000;0.900000;
184;0.000050;1.000000;0.890000;
185;0.000036;1.000000;0.890000;
186;0.000035;1.000000;0.900000;
187;0.000109;1.000000;0.860000;
188;0.000330;1.000000;0.880000;
189;0.000035;1.000000;0.880000;
190;0.000033;1.000000;0.890000;
191;0.000119;1.000000;0.830000;
192;0.000127;1.000000;0.880000;
193;0.000368;1.000000;0.830000;
