id;train_loss;train_acc;val_acc;val_loss
0;2.189448;0.125000;-1.000000;
1;2.254168;0.125000;-1.000000;
2;2.204618;0.093750;-1.000000;
3;2.210602;0.156250;-1.000000;
4;2.205952;0.125000;-1.000000;
5;2.201274;0.156250;-1.000000;
6;2.271392;0.031250;-1.000000;
7;2.204059;0.093750;-1.000000;
8;2.211533;0.093750;-1.000000;
9;2.167208;0.156250;-1.000000;
10;2.197809;0.125000;-1.000000;
11;2.200043;0.093750;-1.000000;
12;2.184299;0.156250;-1.000000;
13;2.221898;0.062500;-1.000000;
14;2.210414;0.050000;-1.000000;
15;2.155444;0.125000;-1.000000;
16;2.225106;0.093750;-1.000000;
17;2.166408;0.093750;-1.000000;
18;2.199611;0.125000;-1.000000;
19;2.221535;0.031250;-1.000000;
20;2.218916;0.093750;-1.000000;
21;2.210876;0.062500;-1.000000;
22;2.193979;0.125000;-1.000000;
23;2.184799;0.125000;-1.000000;
24;2.187026;0.156250;-1.000000;
25;2.190463;0.187500;-1.000000;
26;2.204942;0.000000;-1.000000;
27;2.159695;0.156250;-1.000000;
28;2.171582;0.125000;-1.000000;
29;2.202365;0.100000;-1.000000;
30;2.150692;0.187500;-1.000000;
31;2.196422;0.093750;-1.000000;
32;2.176084;0.093750;-1.000000;
33;2.162399;0.156250;-1.000000;
34;2.210523;0.093750;-1.000000;
35;2.230871;0.125000;-1.000000;
36;2.186236;0.125000;-1.000000;
37;2.204710;0.156250;-1.000000;
38;2.158022;0.187500;-1.000000;
39;2.164099;0.218750;-1.000000;
40;2.178071;0.156250;-1.000000;
41;2.224934;0.062500;-1.000000;
42;2.158371;0.156250;-1.000000;
43;2.218853;0.062500;-1.000000;
44;2.185907;0.150000;-1.000000;
45;2.141991;0.218750;-1.000000;
46;2.185292;0.093750;-1.000000;
47;2.215224;0.062500;-1.000000;
48;2.193095;0.187500;-1.000000;
49;2.208779;0.125000;-1.000000;
50;2.223599;0.156250;-1.000000;
51;2.179886;0.093750;-1.000000;
52;2.178769;0.125000;-1.000000;
53;2.175105;0.062500;-1.000000;
54;2.176151;0.156250;-1.000000;
55;2.179149;0.093750;-1.000000;
56;2.206992;0.031250;-1.000000;
57;2.162872;0.156250;-1.000000;
58;2.163302;0.187500;-1.000000;
59;2.161145;0.150000;-1.000000;
60;2.150386;0.187500;-1.000000;
61;2.189101;0.062500;-1.000000;
62;2.168503;0.156250;-1.000000;
63;2.173645;0.156250;-1.000000;
64;2.175619;0.093750;-1.000000;
65;2.188488;0.156250;-1.000000;
66;2.168703;0.156250;-1.000000;
67;2.171849;0.187500;-1.000000;
68;2.181514;0.125000;-1.000000;
69;2.172224;0.062500;-1.000000;
70;2.136683;0.218750;-1.000000;
71;2.201683;0.062500;-1.000000;
72;2.151589;0.156250;-1.000000;
73;2.158835;0.156250;-1.000000;
74;2.135348;0.150000;-1.000000;
75;2.120389;0.218750;-1.000000;
76;2.219419;0.062500;-1.000000;
77;2.176373;0.125000;-1.000000;
78;2.142023;0.281250;-1.000000;
79;2.178543;0.093750;-1.000000;
80;2.205106;0.093750;-1.000000;
81;2.143653;0.156250;-1.000000;
82;2.181377;0.156250;-1.000000;
83;2.167774;0.218750;-1.000000;
84;2.145404;0.218750;-1.000000;
85;2.150582;0.093750;-1.000000;
86;2.163094;0.062500;-1.000000;
87;2.159299;0.218750;-1.000000;
88;2.123372;0.156250;-1.000000;
89;2.138944;0.200000;-1.000000;
90;2.165854;0.156250;-1.000000;
91;2.192272;0.156250;-1.000000;
92;2.171044;0.125000;-1.000000;
93;2.161963;0.187500;-1.000000;
94;2.167426;0.093750;-1.000000;
95;2.185618;0.093750;-1.000000;
96;2.142056;0.125000;-1.000000;
97;2.206412;0.156250;-1.000000;
98;2.164054;0.218750;-1.000000;
99;2.150722;0.156250;-1.000000;
100;2.125322;0.218750;-1.000000;
101;2.146644;0.156250;-1.000000;
102;2.124908;0.156250;-1.000000;
103;2.130289;0.125000;-1.000000;
104;2.156023;0.150000;-1.000000;
105;2.125568;0.218750;-1.000000;
106;2.168504;0.062500;-1.000000;
107;2.165532;0.156250;-1.000000;
108;2.103359;0.281250;-1.000000;
109;2.179635;0.125000;-1.000000;
110;2.157228;0.125000;-1.000000;
111;2.105508;0.218750;-1.000000;
112;2.159688;0.125000;-1.000000;
113;2.116653;0.218750;-1.000000;
114;2.110404;0.125000;-1.000000;
115;2.119310;0.218750;-1.000000;
116;2.159248;0.093750;-1.000000;
117;2.095983;0.218750;-1.000000;
118;2.122871;0.218750;-1.000000;
119;2.135672;0.100000;-1.000000;
120;2.108330;0.218750;-1.000000;
121;2.160985;0.125000;-1.000000;
122;2.179631;0.156250;-1.000000;
123;2.077906;0.218750;-1.000000;
124;2.161905;0.125000;-1.000000;
125;2.152380;0.125000;-1.000000;
126;2.081492;0.218750;-1.000000;
127;2.124196;0.250000;-1.000000;
128;2.140518;0.125000;-1.000000;
129;2.112019;0.156250;-1.000000;
130;2.104056;0.125000;-1.000000;
131;2.165598;0.062500;-1.000000;
132;2.114162;0.156250;-1.000000;
133;2.090217;0.250000;-1.000000;
134;2.139874;0.100000;-1.000000;
135;2.103278;0.250000;-1.000000;
136;2.141232;0.125000;-1.000000;
137;2.126233;0.156250;-1.000000;
138;2.106601;0.156250;-1.000000;
139;2.137279;0.156250;-1.000000;
140;2.151883;0.125000;-1.000000;
141;2.085619;0.093750;-1.000000;
142;2.104216;0.125000;-1.000000;
143;2.091694;0.187500;-1.000000;
144;2.103074;0.156250;-1.000000;
145;2.095502;0.281250;-1.000000;
146;2.140628;0.156250;-1.000000;
147;2.081506;0.218750;-1.000000;
148;2.095961;0.156250;-1.000000;
149;2.119506;0.150000;-1.000000;
150;2.071203;0.281250;-1.000000;
151;2.137941;0.156250;-1.000000;
152;2.136086;0.156250;-1.000000;
153;2.035761;0.406250;-1.000000;
154;2.090693;0.250000;-1.000000;
155;2.113336;0.250000;-1.000000;
156;2.071627;0.062500;-1.000000;
157;2.132410;0.187500;-1.000000;
158;2.065125;0.250000;-1.000000;
159;2.089793;0.187500;-1.000000;
