id;train_loss;train_acc;val_acc;val_loss
0;2.208981;0.111111;0.120000;
1;2.192850;0.106838;0.120000;
2;2.187080;0.134615;0.120000;
3;2.183423;0.126068;0.120000;
4;2.168278;0.138889;0.120000;
5;2.161024;0.155983;0.120000;
6;2.159374;0.151709;0.110000;
7;2.135011;0.168803;0.100000;
8;2.127551;0.162393;0.160000;
9;2.112281;0.166667;0.190000;
10;2.095257;0.220085;0.220000;
11;2.081420;0.202991;0.210000;
12;2.050272;0.228632;0.210000;
13;2.012985;0.252137;0.220000;
14;2.007180;0.252137;0.230000;
15;1.976373;0.239316;0.250000;
16;1.952178;0.264957;0.270000;
17;1.930218;0.256410;0.260000;
18;1.902452;0.267094;0.250000;
19;1.874707;0.245726;0.280000;
20;1.840072;0.301282;0.280000;
21;1.813838;0.326923;0.270000;
22;1.796330;0.329060;0.220000;
23;1.752362;0.320513;0.220000;
24;1.698709;0.339744;0.330000;
25;1.672266;0.380342;0.320000;
26;1.632171;0.358974;0.290000;
27;1.633007;0.361111;0.280000;
28;1.616185;0.363248;0.300000;
29;1.563976;0.403846;0.270000;
30;1.555221;0.369658;0.300000;
31;1.550580;0.393162;0.330000;
32;1.554860;0.380342;0.320000;
33;1.499675;0.399573;0.330000;
34;1.500284;0.405983;0.300000;
35;1.497642;0.380342;0.320000;
36;1.493323;0.403846;0.310000;
37;1.464847;0.418803;0.330000;
38;1.411660;0.461538;0.320000;
39;1.439705;0.420940;0.340000;
40;1.448934;0.440171;0.330000;
41;1.375106;0.455128;0.390000;
42;1.428797;0.418803;0.330000;
43;1.374984;0.487179;0.360000;
44;1.375410;0.429487;0.410000;
45;1.448143;0.403846;0.390000;
46;1.376727;0.433761;0.290000;
47;1.393838;0.444444;0.420000;
48;1.350795;0.433761;0.330000;
49;1.371515;0.450855;0.390000;
50;1.381808;0.433761;0.370000;
51;1.280645;0.508547;0.390000;
52;1.380786;0.412393;0.410000;
53;1.323479;0.461538;0.410000;
54;1.316996;0.495726;0.400000;
55;1.302069;0.446581;0.400000;
